topology,run,seed,edges,mean_degree,degree_cv,transitivity,global_efficiency
ER,71,255,3208,64.16,0.0783256796735,0.649087698646,0.82404040404
WS,71,257,3200,64,0.0479053428649,0.658049190874,0.823232323232
BA,72,259,2176,43.52,0.375047304542,0.526368995881,0.719797979798
ER,72,258,3135,62.7,0.0727909008437,0.632577607972,0.816666666667
WS,72,260,3200,64,0.0523379194514,0.660216362206,0.823232323232
BA,73,262,2176,43.52,0.37247632462,0.523840169597,0.719797979798
ER,73,261,3200,64,0.0756805064895,0.6463878327,0.823232323232
WS,73,263,3200,64,0.0516334738808,0.656525481583,0.823232323232
BA,74,265,2176,43.52,0.381731036757,0.526988516125,0.719797979798
ER,74,264,3163,63.26,0.0811177758278,0.640767736891,0.819494949495
WS,74,266,3200,64,0.0468228876993,0.659914179234,0.823232323232
BA,75,268,2176,43.52,0.364234506773,0.519455308459,0.719797979798
ER,75,267,3180,63.6,0.0749787359595,0.641297669888,0.821212121212
WS,75,269,3200,64,0.0519634035885,0.660287010334,0.823232323232
BA,76,271,2176,43.52,0.383249465937,0.525062715511,0.719797979798
ER,76,270,3243,64.86,0.0723166574125,0.656086994111,0.827575757576
WS,76,272,3200,64,0.0430751523503,0.658179027626,0.823232323232
BA,77,274,2176,43.52,0.368156242065,0.518484419936,0.719797979798
ER,77,273,3186,63.72,0.0821808499498,0.645113992753,0.821818181818
WS,77,275,3200,64,0.0455543116785,0.657779977726,0.823232323232
BA,78,277,2176,43.52,0.373764025186,0.522112847862,0.719797979798
ER,78,276,3257,65.14,0.0619419368778,0.656596000343,0.82898989899
WS,78,278,3200,64,0.0490137098167,0.662802090137,0.823232323232
BA,79,280,2176,43.52,0.369801819719,0.520905626031,0.719797979798
ER,79,279,3187,63.74,0.0778648237769,0.645215325274,0.821919191919
WS,79,281,3200,64,0.0467184887116,0.663885135637,0.823232323232
BA,80,283,2176,43.52,0.362330585487,0.513786729677,0.719797979798
ER,80,282,3195,63.9,0.0775398381336,0.646031267156,0.822727272727
WS,80,284,3200,64,0.0527560719254,0.660958599199,0.823232323232
BA,81,286,2176,43.52,0.366142948021,0.519801556753,0.719797979798
ER,81,285,3186,63.72,0.0811554942559,0.644462450848,0.821818181818
WS,81,287,3200,64,0.0592927061282,0.659519572954,0.823232323232
BA,82,289,2176,43.52,0.371283714013,0.518005645115,0.719797979798
ER,82,288,3187,63.74,0.0735070416557,0.643601094255,0.821919191919
WS,82,290,3200,64,0.0477522087186,0.663181024116,0.823232323232
BA,83,292,2176,43.52,0.391819109108,0.527498085222,0.719797979798
ER,83,291,3180,63.6,0.0663365506595,0.639494293802,0.821212121212
WS,83,293,3200,64,0.0499022481958,0.656909603681,0.823232323232
BA,84,295,2176,43.52,0.376508553778,0.525965568014,0.719797979798
ER,84,294,3239,64.78,0.0789118195029,0.655702534994,0.827171717172
WS,84,296,3200,64,0.0465614513305,0.659692938172,0.823232323232
BA,85,298,2176,43.52,0.362883896546,0.515772329847,0.719797979798
ER,85,297,3224,64.48,0.0714571806246,0.651168329923,0.825656565657
WS,85,299,3200,64,0.0488640492847,0.657987322417,0.823232323232
BA,86,301,2176,43.52,0.378787440015,0.525666519023,0.719797979798
ER,86,300,3195,63.9,0.0759764387727,0.646618252335,0.822727272727
WS,86,302,3200,64,0.0481594843982,0.657750835086,0.823232323232
BA,87,304,2176,43.52,0.370372480743,0.521134636162,0.719797979798
ER,87,303,3192,63.84,0.0694090242016,0.643751209275,0.822424242424
WS,87,305,3200,64,0.0534000234082,0.661565702528,0.823232323232
BA,88,307,2176,43.52,0.366546491489,0.51718338765,0.719797979798
ER,88,306,3193,63.86,0.0758793900732,0.645795151719,0.822525252525
WS,88,308,3200,64,0.0489638738,0.657594845886,0.823232323232
BA,89,310,2176,43.52,0.370771420863,0.521053229994,0.719797979798
ER,89,309,3179,63.58,0.0800805656757,0.644533005723,0.821111111111
WS,89,311,3200,64,0.0495585985224,0.65926285112,0.823232323232
BA,90,313,2176,43.52,0.378271351328,0.522201481984,0.719797979798
ER,90,312,3157,63.14,0.0748919617092,0.636998590935,0.818888888889
WS,90,314,3200,64,0.0447977224588,0.659607645128,0.823232323232
BA,91,316,2176,43.52,0.361104468357,0.516858646731,0.719797979798
ER,91,315,3215,64.3,0.0743416385861,0.650347907668,0.824747474747
WS,91,317,3200,64,0.0530790242233,0.659555735816,0.823232323232
BA,92,319,2176,43.52,0.398075572184,0.533711522366,0.719797979798
ER,92,318,3193,63.86,0.074608419624,0.643512165155,0.822525252525
WS,92,320,3200,64,0.0466662016346,0.661364243786,0.823232323232
BA,93,322,2176,43.52,0.377027055456,0.524904467613,0.719797979798
ER,93,321,3216,64.32,0.0761936481475,0.649537683438,0.824848484848
WS,93,323,3200,64,0.0444145950111,0.659511692838,0.823232323232
BA,94,325,2176,43.52,0.37598933707,0.524648053554,0.719797979798
ER,94,324,3178,63.56,0.0658285873042,0.640739943212,0.82101010101
WS,94,326,3200,64,0.0532168323935,0.662157483431,0.823232323232
BA,95,328,2176,43.52,0.372405442797,0.523467446549,0.719797979798
ER,95,327,3205,64.1,0.0753527904882,0.647530506091,0.823737373737
WS,95,329,3200,64,0.0462457768342,0.656193389362,0.823232323232
BA,96,331,2176,43.52,0.365839998302,0.518279815206,0.719797979798
